business_code,cust_number,name_customer,clear_date,business_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen
CA02,020062474,Dynamic Industries,2020-01-10,2019.0,196378814.0,2020-05-03,20191012,20191025,20200405.0,USD,RV,1.0,516144.71,2019-04-18,Deductible,196378814.0,0
U002,020087394,Pioneer Industries,2019-10-31,2020.0,196333820.0,2019-12-17,20200510,20200102,20191222.0,USD,RV,1.0,96035.67,2019-11-05,Cash,196333820.0,1
U007,020012494,Future Commerce Ltd.,2019-12-26,2019.0,198490632.0,2019-06-02,20190228,20190517,20200109.0,CAD,RV,1.0,6580.21,2020-03-16,Monthly,198490632.0,0
U002,020056647,Fusion Enterprises,NaN,2020.0,198071302.0,2019-10-10,20191208,20190320,20191222.0,USD,RV,1.0,592284.3,2019-08-16,"2/10, Net 30",198071302.0,1
U001,020021445,BlueWave Enterprises,2019-06-03,2020.0,190005569.0,2019-06-10,20200411,20191110,20190505.0,USD,RV,1.0,1551.02,2020-03-02,Out-of-Pocket,190005569.0,1
U002,020075766,Synergy Corporations,2020-03-12,2020.0,190027031.0,2019-12-29,20190927,20190123,20190207.0,USD,RV,1.0,918346.5,2020-01-30,Rental,190027031.0,1
U002,020030617,MetroTech Solutions,2019-08-24,2020.0,199880539.0,2020-02-17,20190713,20200413,20190617.0,USD,RV,1.0,82881.38,2019-11-08,1/30 EOM,199880539.0,0
U007,020065948,OmniTech Solutions,NaN,2020.0,196801263.0,2019-12-16,20190917,20190406,20200226.0,USD,RV,1.0,47387.51,2019-03-14,1/15 EOM,196801263.0,1
U007,020025243,Prime Logistics,2019-04-16,2019.0,190530404.0,2019-06-30,20190503,20200508,20191111.0,USD,RV,1.0,33807.3,2019-11-28,Co-Pay,190530404.0,0
U002,020063966,Acme Industries,2019-03-11,2020.0,197656606.0,2020-02-29,20200428,20200406,20191011.0,USD,RV,1.0,377549.89,2019-10-07,N60,197656606.0,1
U002,020033573,BlueWave Enterprises,2019-03-12,2020.0,194964709.0,2020-02-20,20200308,20200513,20191228.0,USD,RV,1.0,305048.51,2019-05-21,Quarterly,194964709.0,1
CA02,020050526,MetroTech Solutions,NaN,2019.0,193470587.0,2019-03-29,20200429,20200111,20190825.0,USD,RV,1.0,81017.14,2020-04-13,Rental,193470587.0,1
U002,020054979,OmniTech Solutions,2019-10-29,2020.0,199083854.0,2020-04-05,20191022,20190804,20190619.0,CAD,RV,1.0,903055.67,2019-01-28,Escrow,199083854.0,0
U005,020012777,Spectrum Technologies,2019-03-29,2020.0,196930320.0,2019-06-30,20191124,20200430,20190826.0,CAD,RV,1.0,62979.8,2020-02-04,1/10 EOM,196930320.0,0
CA02,020032747,Advantage Solutions,2020-05-12,2019.0,198414617.0,2019-12-03,20190830,20200307,20190419.0,CAD,RV,1.0,621588.21,2019-12-04,45 Prox,198414617.0,0
U013,020075466,Pinnacle Manufacturing,NaN,2020.0,198706224.0,2019-08-20,20200127,20200402,20191209.0,USD,RV,1.0,177007.39,2019-11-14,COD,198706224.0,0
U002,020002979,Cortex Innovations,2019-06-10,2019.0,196886800.0,2020-03-09,20200118,20200414,20191011.0,USD,RV,1.0,22323.99,2019-05-15,Due Dates,196886800.0,0
U001,020017938,Pioneer Industries,2020-04-10,2020.0,199941183.0,2019-07-01,20190424,20191111,20190918.0,CAD,RV,1.0,3643.98,2020-05-09,1/10 Prox,199941183.0,1
U001,020073980,Elite Systems Group,2020-05-10,2019.0,193302291.0,2019-01-28,20200221,20191029,20200219.0,CAD,RV,1.0,713755.85,2019-08-14,Disposable,193302291.0,0
CA02,020030409,Titanium Technologies,NaN,2019.0,191514963.0,2019-10-06,20200128,20190526,20190928.0,USD,RV,1.0,49149.86,2020-03-07,Monthly,191514963.0,1
U013,020033182,Advantage Solutions,2019-12-23,2020.0,199924133.0,2019-03-06,20190621,20200104,20191105.0,CAD,RV,1.0,955750.57,2019-11-29,Rental,199924133.0,0
U002,020005280,Optimum Tech Partners,2019-07-27,2019.0,195436683.0,2020-04-12,20190803,20190327,20190422.0,USD,RV,1.0,431456.45,2019-08-14,Consumables,195436683.0,1
U002,020020142,Advantage Solutions,2019-06-22,2020.0,196458651.0,2019-02-04,20190702,20190909,20190910.0,CAD,RV,1.0,80081.71,2019-08-19,Monthly,196458651.0,1
U005,020007202,Velocity Solutions,NaN,2020.0,199108507.0,2020-05-03,20191122,20190420,20190704.0,CAD,RV,1.0,473155.31,2019-02-27,"2/15, Net 45",199108507.0,0
CA02,020088040,Ascend Industries,2019-09-14,2020.0,193857920.0,2019-03-10,20200421,20190627,20191010.0,CAD,RV,1.0,4018.38,2019-01-18,Disposable,193857920.0,0
U002,020018592,Summit Technologies,2020-03-16,2020.0,191886385.0,2019-06-28,20190212,20190906,20190523.0,CAD,RV,1.0,562449.8,2020-03-04,Weekly,191886385.0,0
U013,020011928,Prime Innovations,2019-03-10,2019.0,191846681.0,2020-05-14,20200322,20200118,20190530.0,USD,RV,1.0,41560.52,2019-12-28,Subscription,191846681.0,0
U005,020036083,Peak Technologies,NaN,2019.0,197164177.0,2019-10-24,20190727,20190505,20191017.0,USD,RV,1.0,3066.6,2020-01-21,Out-of-Pocket,197164177.0,0
U013,020016020,Prime Logistics,2020-01-29,2020.0,195521935.0,2019-12-24,20191230,20190830,20190508.0,CAD,RV,1.0,8631.95,2019-07-04,1/60 Prox,195521935.0,1
U007,020070847,Prime Innovations,2020-03-16,2019.0,197255787.0,2019-12-19,20190515,20190219,20190806.0,USD,RV,1.0,7091.54,2020-02-17,1/15 Prox,197255787.0,0
