key_0,business_code,cust_number,name_customer,Predicted_payment_date,business_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Delay,delay_bucket
3,U007,20001083,Elite Systems Group,2019-09-11,2020.0,194305136.0,2020-02-02,2019-07-23,2019-05-11,2020-01-21,CAD,RV,1.0,7036.14,2019-05-02,1/90 EOM,194305136.0,0,-132,no delay
7,U013,20060570,NextGen Solutions,2019-12-28,2020.0,192694524.0,2020-02-07,2019-12-29,2019-06-02,2019-09-22,CAD,RV,1.0,82825.94,2019-01-23,Escrow,192694524.0,1,97,60 to 100 days of delay
11,U013,20092074,Dynamic Industries,2019-10-19,2020.0,199818919.0,2020-03-01,2020-01-13,2020-04-29,2019-07-07,USD,RV,1.0,97372.28,2019-05-23,90 EOM,199818919.0,1,104,more than 100 days of delay
15,U001,20086656,InnovaTech Group,2019-09-26,2020.0,199822949.0,2019-10-14,2019-10-24,2019-05-21,2019-11-04,CAD,RV,1.0,99161.55,2019-09-28,1/15 Prox,199822949.0,0,-39,no delay
19,U002,20094434,Nexus Networks,2020-02-16,2019.0,190369171.0,2019-03-03,2019-11-14,2020-02-25,2020-05-15,USD,RV,1.0,7234.61,2020-05-14,Rental,190369171.0,1,-89,no delay
23,CA02,20041200,Ultimate Solutions,2019-05-17,2019.0,192481883.0,2019-01-30,2019-12-06,2020-01-28,2019-04-02,USD,RV,1.0,123881.53,2019-10-21,N60,192481883.0,1,45,45 to 60 days of delay
27,U002,20091335,Apex Enterprises,2019-09-13,2020.0,190705209.0,2020-05-12,2020-01-04,2019-05-09,2019-07-08,USD,RV,1.0,72319.38,2019-09-28,Net 15,190705209.0,1,67,60 to 100 days of delay
31,U002,20047244,Vertex Solutions Inc.,2020-01-23,2019.0,194728716.0,2020-01-25,2019-04-27,2019-09-18,2019-12-12,USD,RV,1.0,998019.12,2019-06-10,Licencing,194728716.0,0,42,30 to 45 days of delay
35,U001,20058798,Pinnacle Manufacturing,2020-01-09,2020.0,192613487.0,2019-08-31,2019-10-19,2020-01-25,2019-07-29,CAD,RV,1.0,5640.97,2019-12-09,PIB,192613487.0,1,164,more than 100 days of delay
39,U001,20007427,Global Tech Solutions,2019-11-10,2020.0,190579957.0,2019-01-27,2019-12-26,2019-07-03,2020-04-10,CAD,RV,1.0,987764.33,2019-07-09,N60,190579957.0,1,-152,no delay
43,U001,20006011,Ultimate Solutions,2019-08-22,2020.0,197386753.0,2020-03-30,2019-02-24,2019-07-16,2019-07-27,USD,RV,1.0,5633.9,2019-03-14,Licencing,197386753.0,0,26,15 to 30 days of delay
47,U005,20042604,Pioneer Industries,2019-09-17,2019.0,196332817.0,2020-05-03,2019-08-22,2019-04-04,2019-10-04,USD,RV,1.0,64772.01,2019-04-01,PIB,196332817.0,0,-17,no delay
51,U013,20084142,Advantage Solutions,2019-11-19,2020.0,198406042.0,2019-03-16,2019-10-21,2019-02-05,2020-03-09,CAD,RV,1.0,3222.7,2020-05-08,1/10 Prox,198406042.0,1,-111,no delay
55,U013,20074350,Titanium Technologies,2019-08-18,2019.0,197546227.0,2020-03-04,2020-03-16,2019-05-26,2019-02-13,CAD,RV,1.0,5901.36,2020-01-20,1/60 EOM,197546227.0,1,186,more than 100 days of delay
59,U001,20017750,Stellar Supplies LLC,2019-08-17,2020.0,196936962.0,2019-02-01,2019-08-28,2019-11-01,2020-02-24,CAD,RV,1.0,1006.36,2019-07-08,1/10 EOM,196936962.0,0,-191,no delay
63,CA02,20058897,Echelon Industries,2019-06-10,2019.0,197150902.0,2019-03-01,2019-11-24,2019-12-17,2019-06-27,CAD,RV,1.0,91149.28,2020-01-12,Prescription,197150902.0,0,-17,no delay
67,U007,20097681,Ultimate Solutions,2019-09-07,2019.0,196130383.0,2019-08-27,2019-06-21,2019-04-12,2019-04-18,CAD,RV,1.0,9401.15,2019-07-20,1/30 Prox,196130383.0,0,142,more than 100 days of delay
71,CA02,20007355,Dynamic Industries,2019-09-17,2019.0,193640886.0,2019-04-08,2019-11-13,2019-06-13,2020-04-11,CAD,RV,1.0,121646.85,2019-12-31,1/15 Prox,193640886.0,1,-207,no delay
75,U013,20083469,Nexus Networks,2019-04-14,2019.0,197115192.0,2019-07-20,2019-11-06,2019-05-21,2019-05-24,USD,RV,1.0,583564.74,2019-08-08,Consumables,197115192.0,1,-40,no delay
79,U013,20007654,Advanced Enterprises,2019-03-03,2019.0,195498513.0,2020-04-27,2019-08-03,2020-01-06,2019-01-13,USD,RV,1.0,82113.15,2019-12-18,Immediate,195498513.0,1,49,45 to 60 days of delay
83,CA02,20004281,Nexus Networks,2019-07-25,2020.0,195644427.0,2020-02-07,2020-05-11,2019-03-26,2019-07-27,CAD,RV,1.0,646718.55,2019-07-04,1/90 Prox,195644427.0,1,-2,no delay
87,CA02,20089442,OmniTech Solutions,2019-05-22,2019.0,192823838.0,2020-02-04,2019-07-01,2019-10-26,2019-02-20,USD,RV,1.0,26185.34,2019-10-25,Consumables,192823838.0,1,91,60 to 100 days of delay
91,U002,20067716,Future Commerce Ltd.,2019-05-13,2019.0,198858528.0,2020-02-04,2019-09-15,2019-10-12,2019-04-04,USD,RV,1.0,2537.27,2019-09-25,Weekly,198858528.0,0,39,30 to 45 days of delay
95,U002,20071176,Pioneer Industries,2019-04-23,2020.0,193765497.0,2019-08-27,2020-04-24,2020-04-09,2019-04-22,CAD,RV,1.0,2669.43,2019-05-09,Pro-Rata,193765497.0,0,1,0 to 15 days of delay
99,U001,20072362,Advantage Solutions,2019-08-28,2019.0,192434278.0,2020-01-24,2020-03-29,2019-04-11,2019-01-27,USD,RV,1.0,369980.99,2020-02-13,Tiered,192434278.0,0,213,more than 100 days of delay
103,U013,20005019,Global Tech Solutions,2019-09-05,2020.0,197048117.0,2019-02-13,2019-07-26,2019-08-14,2020-02-24,CAD,RV,1.0,781248.66,2019-04-23,Quarterly,197048117.0,1,-172,no delay
107,U013,20011756,Prime Logistics,2019-04-07,2020.0,199887359.0,2019-09-29,2019-05-12,2019-12-16,2020-02-05,USD,RV,1.0,1545.09,2020-01-12,Rental,199887359.0,1,-304,no delay
111,U013,20068689,Ultimate Solutions,2019-12-09,2020.0,195110260.0,2019-09-19,2019-07-27,2019-05-09,2019-12-04,USD,RV,1.0,346263.74,2020-01-03,Tiered,195110260.0,1,5,0 to 15 days of delay
115,U007,20077350,Ascend Industries,2020-04-15,2019.0,195944546.0,2020-04-06,2020-02-11,2019-08-16,2019-11-15,USD,RV,1.0,168684.6,2020-03-11,1/10 EOM,195944546.0,1,152,more than 100 days of delay
119,U013,20098937,Unified Ventures,2019-01-09,2019.0,198373135.0,2020-02-19,2019-08-22,2020-04-15,2019-01-29,USD,RV,1.0,94620.4,2019-10-01,60 Prox,198373135.0,1,-20,no delay
123,U002,20007830,Velocity Solutions,2019-07-08,2020.0,199875967.0,2019-05-07,2019-11-28,2019-08-27,2019-03-22,CAD,RV,1.0,338705.99,2020-03-13,Licencing,199875967.0,0,108,more than 100 days of delay
127,U007,20029757,Echelon Industries,2019-05-29,2019.0,190523158.0,2019-02-25,2019-07-26,2019-05-17,2019-03-27,USD,RV,1.0,1443.92,2020-03-02,Lump Sum,190523158.0,1,63,60 to 100 days of delay
131,U005,20055410,Prime Logistics,2019-11-15,2019.0,199445799.0,2019-12-26,2019-08-02,2020-03-11,2019-09-01,USD,RV,1.0,23776.67,2019-11-12,1/30 Prox,199445799.0,1,75,60 to 100 days of delay
135,U013,20072440,Spectrum Technologies,2019-04-09,2019.0,193490610.0,2019-12-25,2019-02-01,2019-12-15,2019-01-19,CAD,RV,1.0,336407.76,2019-03-27,45 Prox,193490610.0,0,80,60 to 100 days of delay
139,U001,20055102,Alliance Enterprises,2020-01-06,2020.0,190512174.0,2020-04-30,2019-07-31,2020-04-27,2020-04-28,CAD,RV,1.0,2235.06,2019-10-04,1/15 EOM,190512174.0,0,-113,no delay
143,U007,20052355,Skyline Innovations,2020-01-04,2019.0,197670867.0,2019-03-27,2019-10-23,2019-03-30,2019-07-31,USD,RV,1.0,89030.53,2019-12-24,Prescription,197670867.0,1,157,more than 100 days of delay
147,U002,20052413,Innovatech Solutions,2019-08-17,2019.0,197230827.0,2020-02-01,2019-04-19,2019-06-13,2019-09-10,USD,RV,1.0,85187.36,2019-09-16,In Advance,197230827.0,1,-24,no delay
